Site,Date,NDVI,NDVI_mean,usrt_strv_mean,Alltrail_nb_revw,HFI,HFIperc,Density_trail,PLUZ_NAME,TYPE,vegclass,UTM,UTM_mE,UTM_mN,Latitude,Longitude,Elevation,buffer_area,forest_perc,distance_water,distance_trail,distance_trail_m,Use_Type,season
92,2019-10-01,0.266433333333333,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
92,2019-11-01,0.202975,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
92,2020-05-01,0.504925,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
92,2020-06-01,0.565708333333333,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
92,2020-07-01,0.7108,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
92,2020-08-01,0.708766666666667,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
92,2020-09-01,0.628733333333333,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
92,2020-10-01,0.428808333333333,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
92,2020-11-01,0.662383333333333,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
92,2021-05-01,0.565666666666667,0.464400653594771,0,0,32555.535411264,4.14510037092837,0,NA,No type,Coniferous Forest,11U,575489,5775985,52.1292,-115.897,1685,785039.343644281,84.8589138365281,130.427743779211,1276.58687776575,1276.58687776575,No_trail_inbuf,summer
